"Dictamen";"Antiguedad.Trabajo";"Vivienda";"Plazo";"Edad";"Estado.civil";"Registros";"Tipo.trabajo";"Gastos";"Ingresos";"Patrimonio";"Cargas.patrimoniales";"Importe.solicitado";"Precio.del.bien.financiado";"Estalvi";"RatiFin"
"positiu";6;"lloguer";36;38;"casat";"reg_no";"autonom";95;500;25000;21400;800;1011;8.595;79.1295746785361
"positiu";9;"lloguer";48;56;"casat";"reg_no";"autonom";140;350;0;0;1400;1571;7.2;89.1152132399745
"positiu";3;"escriptura";36;41;"casat";"reg_no";"autonom";75;200;3000;0;1000;1000;4.5;100
"negatiu";22;"altres viv";36;46;"casat";"reg_no";"fixe";45;138;0;0;250;270;13.392;92.5925925925926
"positiu";3;"escriptura";60;54;"vidu";"reg_no";"altres sit";35;80;4000;0;950;1382;2.84210526315789;68.7409551374819
"positiu";30;"escriptura";36;51;"casat";"reg_no";"autonom";120;208;15000;0;1500;1713;2.112;87.5656742556918
"positiu";8;"lloguer";60;52;"casat";"reg_no";"fixe";89;137;4000;0;800;1086;3.6;73.6648250460405
"positiu";38;"escriptura";48;57;"casat";"reg_no";"autonom";45;58;12000;0;1500;3262;0.416;45.9840588595953
"positiu";2;"lloguer";60;33;"casat";"reg_no";"fixe";73;130;0;0;1100;1610;3.10909090909091;68.3229813664596
"positiu";4;"escriptura";60;33;"casat";"reg_no";"fixe";75;123;6000;1000;600;1030;3.8;58.252427184466
"negatiu";0;"lloguer";36;29;"casat";"reg_no";"temporal";78;180;0;0;650;650;5.64923076923077;100
"negatiu";2;"altres viv";48;23;"solter";"reg_no";"fixe";35;140;0;0;1950;2175;2.58461538461538;89.6551724137931
"positiu";8;"escriptura";24;33;"casat";"reg_no";"fixe";75;315;4500;0;400;1780;14.4;22.4719101123596
"negatiu";1;"lloguer";36;24;"casat";"reg_no";"temporal";76;164;0;0;900;950;3.52;94.7368421052632
"negatiu";6;"pares";60;28;"casat";"reg_no";"autonom";90;325;7000;0;1200;1211;11.75;99.0916597853014
"positiu";5;"escriptura";60;27;"casat";"reg_no";"fixe";45;135;5000;1400;1600;1650;2.85;96.969696969697
"negatiu";13;"pares";36;33;"solter";"reg_no";"fixe";35;109;0;0;350;350;7.61142857142857;100
"positiu";11;"lloguer";60;32;"casat";"reg_no";"fixe";79;185;0;0;950;1117;6.69473684210526;85.0492390331244
"positiu";10;"escriptura";24;39;"casat";"reg_no";"fixe";45;217;9000;3000;1500;2468;2.272;60.7779578606159
"negatiu";20;"escriptura";60;51;"casat";"reg_no";"autonom";90;300;12500;2500;1340;1740;8.28358208955224;77.0114942528736
"negatiu";0;"escriptura";36;39;"solter";"reg_no";"autonom";35;0;4000;0;1000;1210;-1.26;82.6446280991736
"positiu";13;"escriptura";48;29;"casat";"reg_no";"fixe";60;253;3000;0;670;963;13.8268656716418;69.5742471443406
"negatiu";2;"escriptura";36;32;"casat";"reg_no";"fixe";75;101;1500;400;1200;1646;0.66;72.9040097205346
"negatiu";3;"escriptura";36;40;"casat";"reg_si";"autonom";35;200;10000;0;800;800;7.425;100
"positiu";12;"escriptura";36;47;"casat";"reg_no";"fixe";75;124;3500;0;460;470;3.83478260869565;97.8723404255319
"positiu";20;"escriptura";24;66;"casat";"reg_no";"fixe";45;143;10000;0;950;1370;2.47578947368421;69.3430656934307
"positiu";3;"contr_privat";48;39;"separat";"reg_no";"autonom";35;250;4000;1500;700;839;13.7142857142857;83.4326579261025
"positiu";27;"escriptura";60;50;"casat";"reg_no";"fixe";75;135;5500;1000;600;1346;5;44.5765230312036
"positiu";4;"lloguer";60;25;"casat";"reg_no";"fixe";57;115;0;0;900;1350;3.86666666666667;66.6666666666667
"negatiu";1;"escriptura";60;27;"casat";"reg_no";"temporal";75;160;4000;3000;1800;2100;1.83333333333333;85.7142857142857
"positiu";18;"lloguer";60;54;"casat";"reg_no";"fixe";66;214;0;0;1300;1307;6.83076923076923;99.4644223412395
"positiu";12;"lloguer";60;42;"casat";"reg_no";"fixe";114;390;0;0;1100;1126;15.0545454545455;97.6909413854352
"positiu";12;"escriptura";48;35;"separat";"reg_no";"autonom";45;500;200000;0;2380;4786;9.17647058823529;49.7283744254074
"negatiu";0;"pares";60;23;"solter";"reg_no";"temporal";35;95;0;0;1400;1478;2.57142857142857;94.722598105548
"positiu";12;"escriptura";60;52;"casat";"reg_no";"fixe";75;200;12000;0;1550;1568;4.83870967741935;98.8520408163265
"positiu";0;"pares";24;22;"solter";"reg_no";"temporal";35;85;0;0;650;1056;1.84615384615385;61.5530303030303
"positiu";10;"altres viv";18;48;"casat";"reg_no";"fixe";90;214;0;0;1000;1608;2.232;62.1890547263682
"positiu";2;"escriptura";60;25;"casat";"reg_no";"fixe";75;140;3000;0;950;1179;4.10526315789474;80.5767599660729
"negatiu";10;"altres viv";60;26;"casat";"reg_no";"fixe";45;60;0;0;1400;1524;0.642857142857143;91.8635170603675
"positiu";8;"escriptura";60;28;"casat";"reg_no";"fixe";75;180;4000;0;1300;1730;4.84615384615385;75.1445086705202
"positiu";20;"escriptura";30;62;"casat";"reg_no";"autonom";60;300;24000;9000;600;823;7.5;72.9040097205346
"positiu";0;"lloguer";60;33;"casat";"reg_no";"autonom";65;200;0;0;700;800;11.5714285714286;87.5
"positiu";16;"pares";60;41;"casat";"reg_no";"fixe";75;242;0;0;1300;1482;7.70769230769231;87.719298245614
"positiu";4;"escriptura";60;29;"casat";"reg_no";"temporal";60;155;5000;2500;900;1110;4.66666666666667;81.0810810810811
"negatiu";1;"lloguer";60;37;"solter";"reg_no";"fixe";45;100;0;0;1150;1555;2.8695652173913;73.9549839228296
"positiu";0;"escriptura";60;31;"casat";"reg_no";"fixe";60;105;3500;0;1100;1170;2.45454545454545;94.017094017094
"positiu";15;"escriptura";12;50;"casat";"reg_no";"autonom";45;166;2000;0;500;886;2.904;56.4334085778781
"negatiu";13;"lloguer";60;42;"separat";"reg_si";"fixe";47;120;0;0;800;1395;5.475;57.3476702508961
"positiu";19;"escriptura";36;33;"casat";"reg_no";"fixe";60;115;6700;2000;1000;2084;1.26;47.9846449136276
"positiu";15;"escriptura";24;54;"casat";"reg_no";"autonom";90;350;150000;0;3800;8800;1.64210526315789;43.1818181818182
"positiu";40;"escriptura";36;58;"casat";"reg_no";"autonom";75;0;50000;0;1000;1160;-2.7;86.2068965517241
"positiu";9;"lloguer";60;40;"casat";"reg_no";"fixe";119;442;6000;1947;900;1211;20.2353333333333;74.3187448389761
"negatiu";12;"pares";60;31;"separat";"reg_si";"fixe";35;101;0;0;1300;1300;3.04615384615385;100
"negatiu";0;"escriptura";36;35;"casat";"reg_si";"fixe";105;122;5200;2000;850;850;-0.127058823529412;100
"positiu";14;"escriptura";60;64;"casat";"reg_no";"autonom";60;250;10000;0;700;1204;16.2857142857143;58.1395348837209
"positiu";10;"pares";24;29;"solter";"reg_no";"autonom";35;90;0;0;600;1528;2.2;39.2670157068063
"positiu";2;"escriptura";48;33;"casat";"reg_no";"fixe";45;160;6000;0;1200;1298;4.6;92.4499229583975
"positiu";15;"escriptura";18;35;"casat";"reg_no";"autonom";60;300;4000;0;300;600;14.4;50
"negatiu";1;"pares";48;28;"solter";"reg_no";"fixe";35;83;0;0;1000;1320;2.304;75.7575757575758
"positiu";27;"escriptura";60;59;"casat";"reg_no";"autonom";45;0;11000;0;1100;1300;-2.45454545454545;84.6153846153846
"negatiu";0;"altres viv";60;25;"casat";"reg_no";"temporal";60;60;0;0;1300;1380;0;94.2028985507246
"negatiu";0;"pares";60;23;"solter";"reg_no";"temporal";35;205;0;0;1400;1426;7.28571428571429;98.1767180925666
"positiu";3;"escriptura";24;30;"casat";"reg_no";"autonom";75;133;12000;900;1500;5200;0.784;28.8461538461538
"positiu";8;"lloguer";36;36;"casat";"reg_no";"fixe";78;179;0;0;900;1503;4.04;59.8802395209581
"positiu";3;"escriptura";48;25;"solter";"reg_no";"autonom";35;0;4000;0;1200;1449;-1.4;82.815734989648
"positiu";5;"altres viv";60;22;"solter";"reg_no";"fixe";45;195;0;0;700;1422;12.8571428571429;49.2264416315049
"positiu";9;"escriptura";24;45;"casat";"reg_no";"fixe";75;112;4000;0;500;1430;1.776;34.965034965035
"positiu";4;"escriptura";30;47;"casat";"reg_no";"autonom";90;210;15000;0;1550;1578;2.32258064516129;98.2256020278834
"positiu";14;"contr_privat";48;36;"casat";"reg_no";"fixe";75;155;3500;200;1100;1250;3.40363636363636;88
"positiu";3;"escriptura";36;36;"solter";"reg_si";"autonom";35;394;16000;0;1500;2260;8.616;66.3716814159292
"positiu";22;"lloguer";36;60;"casat";"reg_no";"fixe";60;149;0;0;200;280;16.02;71.4285714285714
"positiu";20;"lloguer";48;59;"casat";"reg_no";"fixe";57;120;0;0;800;1298;3.78;61.633281972265
"negatiu";6;"escriptura";48;58;"casat";"reg_si";"autonom";60;400;86000;0;930;945;17.5483870967742;98.4126984126984
"positiu";23;"escriptura";12;37;"casat";"reg_no";"fixe";45;165;5000;0;900;1694;1.6;53.1286894923259
"negatiu";5;"escriptura";36;32;"casat";"reg_no";"autonom";75;125;6000;0;600;700;3;85.7142857142857
"positiu";8;"lloguer";48;26;"solter";"reg_no";"fixe";42;74;0;0;600;1290;2.56;46.5116279069767
"positiu";5;"escriptura";60;40;"casat";"reg_no";"fixe";75;86;4900;0;1300;1581;0.507692307692308;82.2264389626818
"positiu";20;"escriptura";48;55;"casat";"reg_no";"fixe";45;185;5000;0;1000;1383;6.72;72.3065798987708
"positiu";11;"lloguer";60;30;"casat";"reg_no";"fixe";77;165;0;0;1350;1637;3.91111111111111;82.4679291386683
"positiu";25;"pares";54;43;"casat";"reg_no";"fixe";75;110;7000;0;1275;1275;1.48235294117647;100
"negatiu";2;"lloguer";60;28;"casat";"reg_no";"fixe";74;138;0;0;1400;1400;2.74285714285714;100
"positiu";20;"escriptura";24;47;"casat";"reg_no";"autonom";75;300;5000;0;600;832;9;72.1153846153846
"positiu";9;"escriptura";36;29;"solter";"reg_no";"fixe";35;147;3500;0;1886;2886;2.13785790031813;65.3499653499653
"negatiu";0;"lloguer";60;48;"separat";"reg_si";"autonom";35;0;25300;15500;1200;1257;-9.5;95.4653937947494
"positiu";18;"pares";60;34;"casat";"reg_no";"fixe";60;112;6550;0;600;1346;5.2;44.5765230312036
"positiu";20;"escriptura";60;53;"casat";"reg_si";"autonom";75;350;6500;0;800;1138;20.625;70.298769771529
"positiu";6;"escriptura";12;44;"casat";"reg_no";"fixe";45;110;15000;0;300;1801;2.6;16.6574125485841
"negatiu";0;"escriptura";48;49;"casat";"reg_no";"temporal";45;75;2000;0;900;1200;1.6;75
"positiu";0;"lloguer";36;51;"casat";"reg_no";"fixe";113;230;0;0;950;950;4.43368421052632;100
"positiu";14;"ignora_cont";60;34;"casat";"reg_no";"fixe";75;85;8000;0;1400;1589;0.428571428571429;88.1057268722467
"positiu";10;"escriptura";48;42;"casat";"reg_no";"autonom";75;210;4000;120;1200;1617;5.352;74.2115027829313
"positiu";19;"escriptura";60;34;"casat";"reg_no";"fixe";75;125;5000;0;1200;1200;2.5;100
"positiu";11;"escriptura";60;46;"casat";"reg_no";"fixe";75;149;3500;0;1400;2194;3.17142857142857;63.8103919781221
"positiu";1;"escriptura";48;31;"casat";"reg_no";"fixe";75;201;2500;96;1100;1642;5.45629090909091;66.9914738124239
"negatiu";13;"altres viv";60;31;"casat";"reg_no";"fixe";60;105;0;0;1200;1423;2.25;84.328882642305
"positiu";4;"lloguer";12;33;"casat";"reg_no";"fixe";78;183;0;0;600;1600;2.1;37.5
"negatiu";9;"lloguer";24;30;"solter";"reg_si";"fixe";46;113;0;0;700;700;2.29714285714286;100
"positiu";1;"escriptura";24;27;"casat";"reg_no";"fixe";45;126;3000;3700;200;300;5.28;66.6666666666667
"positiu";4;"escriptura";36;48;"casat";"reg_no";"autonom";120;300;5000;0;1000;1165;6.48;85.8369098712446
"positiu";2;"escriptura";60;33;"casat";"reg_no";"fixe";75;160;6000;0;1000;1365;5.1;73.2600732600733
"positiu";2;"escriptura";12;44;"casat";"reg_no";"fixe";90;160;7500;0;500;1706;1.68;29.3083235638921
"negatiu";0;"altres viv";36;48;"casat";"reg_si";"autonom";45;0;0;0;1600;2053;-1.0125;77.9347296639065
"positiu";21;"escriptura";60;57;"casat";"reg_no";"autonom";60;95;8000;0;1000;1700;2.1;58.8235294117647
"positiu";12;"escriptura";60;34;"casat";"reg_si";"fixe";75;125;5500;4000;950;1462;0.631578947368421;64.9794801641587
"positiu";9;"lloguer";60;38;"casat";"reg_no";"fixe";87;120;0;0;1177;1300;1.68224299065421;90.5384615384615
"positiu";2;"lloguer";36;35;"casat";"reg_no";"fixe";126;359;0;0;870;1122;9.64137931034483;77.5401069518717
"positiu";24;"escriptura";60;52;"casat";"reg_no";"fixe";45;80;4000;0;1200;1257;1.75;95.4653937947494
"positiu";1;"pares";60;28;"solter";"reg_no";"temporal";35;67;0;0;1050;1387;1.82857142857143;75.7029560201875
"positiu";15;"escriptura";48;46;"casat";"reg_no";"fixe";90;148;12000;0;1000;1266;2.784;78.9889415481832
"positiu";19;"escriptura";60;56;"casat";"reg_si";"fixe";45;298;8000;0;1700;2195;8.92941176470588;77.4487471526196
"positiu";10;"escriptura";24;52;"casat";"reg_no";"fixe";75;318;4500;700;700;2004;8.09142857142857;34.9301397205589
"positiu";19;"escriptura";60;35;"casat";"reg_no";"fixe";75;185;4000;0;1100;1203;6;91.4380714879468
"positiu";10;"escriptura";36;45;"casat";"reg_si";"autonom";60;0;9500;250;750;1138;-3;65.9050966608084
"positiu";4;"pares";48;29;"casat";"reg_no";"fixe";45;194;0;0;1200;1374;5.96;87.3362445414847
"negatiu";1;"pares";60;22;"solter";"reg_no";"fixe";35;80;3000;0;1500;1514;1.8;99.0752972258917
"positiu";2;"escriptura";24;33;"casat";"reg_si";"fixe";75;147;2000;900;400;750;3.78;53.3333333333333
"positiu";5;"escriptura";24;41;"casat";"reg_no";"autonom";105;156;10000;0;800;1894;1.53;42.2386483632524
"positiu";11;"escriptura";36;37;"casat";"reg_no";"fixe";75;178;3000;0;1000;1048;3.708;95.4198473282443
"positiu";23;"escriptura";24;46;"casat";"reg_no";"fixe";75;130;4000;0;400;1369;3.3;29.218407596786
"negatiu";4;"altres viv";36;19;"solter";"reg_no";"temporal";35;63;0;0;1000;1035;1.008;96.6183574879227
"negatiu";5;"pares";36;22;"solter";"reg_no";"fixe";35;88;0;0;750;1218;2.544;61.576354679803
"positiu";15;"pares";60;31;"casat";"reg_no";"fixe";45;140;0;0;1200;1637;4.75;73.3048259010385
"negatiu";1;"contr_privat";60;44;"casat";"reg_no";"temporal";45;115;2000;0;750;953;5.6;78.6988457502623
"positiu";9;"escriptura";60;48;"casat";"reg_si";"fixe";60;83;2500;0;1100;1212;1.25454545454545;90.7590759075908
"positiu";4;"contr_privat";36;31;"casat";"reg_no";"fixe";60;144;3000;0;1000;1218;3.024;82.1018062397373
"positiu";20;"escriptura";24;53;"casat";"reg_no";"autonom";45;200;100000;0;1000;1419;3.72;70.4721634954193
"positiu";10;"altres viv";60;36;"casat";"reg_no";"fixe";90;172;3000;0;1100;1100;4.47272727272727;100
"positiu";2;"contr_privat";60;46;"casat";"reg_no";"autonom";105;200;4000;500;900;987;6;91.1854103343465
"positiu";15;"escriptura";60;37;"casat";"reg_no";"fixe";60;318;7000;0;1900;2400;8.14736842105263;79.1666666666667
"positiu";8;"escriptura";60;34;"casat";"reg_no";"fixe";60;177;6300;4000;1370;1375;3.37226277372263;99.6363636363636
"positiu";4;"escriptura";48;36;"casat";"reg_no";"fixe";60;133;4000;0;1000;1595;3.504;62.6959247648903
"positiu";4;"escriptura";60;64;"solter";"reg_no";"altres sit";35;150;9000;0;984;1054;7.01219512195122;93.3586337760911
"positiu";1;"escriptura";36;27;"solter";"reg_no";"fixe";35;208;9000;0;1000;1651;6.228;60.5693519079346
"positiu";10;"escriptura";30;26;"casat";"reg_no";"fixe";75;145;1434;0;300;1542;7;19.4552529182879
"positiu";32;"escriptura";60;53;"casat";"reg_no";"fixe";60;157;5000;0;2000;2014;2.91;99.304865938431
"positiu";12;"escriptura";60;50;"casat";"reg_no";"fixe";45;190;9500;200;1800;2624;4.76666666666667;68.5975609756098
"negatiu";0;"pares";60;21;"solter";"reg_no";"temporal";35;86;0;0;1000;1135;3.06;88.1057268722467
"positiu";20;"pares";24;40;"solter";"reg_no";"fixe";35;90;0;0;600;1105;2.2;54.2986425339367
"positiu";6;"lloguer";60;49;"casat";"reg_si";"temporal";100;100;30000;0;1500;1500;0;100
